Date,Adj Close,Close,High,Low,Open,Volume
2020-06-10,5053.419921875,5053.419921875,5152.4501953125,5043.56982421875,5119.85986328125,121335100
2020-06-11,4815.60009765625,4815.60009765625,4956.2998046875,4815.60009765625,4925.9501953125,161274600
2020-06-12,4839.259765625,4839.259765625,4940.7900390625,4759.169921875,4774.10986328125,133164300
2020-06-15,4815.72021484375,4815.72021484375,4841.52978515625,4691.81005859375,4716.97998046875,111889900
2020-06-16,4952.4599609375,4952.4599609375,5006.7900390625,4887.56005859375,4922.7900390625,144445800
2020-06-17,4995.97021484375,4995.97021484375,5026.83984375,4952.56982421875,4952.56982421875,107060900
2020-06-18,4958.75,4958.75,5017.18017578125,4908.60009765625,4978.2998046875,101195000
2020-06-19,4979.4501953125,4979.4501953125,5040.47021484375,4979.4501953125,4997.52978515625,219575400
2020-06-22,4948.7001953125,4948.7001953125,5006.39990234375,4902.06005859375,4928.009765625,84695500
2020-06-23,5017.68017578125,5017.68017578125,5046.31005859375,4962.60009765625,4972.8798828125,101534900
2020-06-24,4871.35986328125,4871.35986328125,5004.0400390625,4871.35986328125,4985.6298828125,97104300
2020-06-25,4918.580078125,4918.580078125,4941.9599609375,4795.0498046875,4860.16015625,99381800
2020-06-26,4909.64013671875,4909.64013671875,5014.830078125,4908.14990234375,4965.72021484375,83954200
2020-06-29,4945.4599609375,4945.4599609375,4977.6298828125,4867.330078125,4887.22998046875,94421100
2020-06-30,4935.990234375,4935.990234375,4967.35009765625,4901.9599609375,4958.93994140625,102399800
2020-07-01,4926.93994140625,4926.93994140625,4963.3701171875,4851.3701171875,4939.7998046875,94498400
2020-07-02,5049.3798828125,5049.3798828125,5072.7099609375,4956.66015625,4963.1298828125,115448500
2020-07-03,5007.14013671875,5007.14013671875,5062.509765625,4982.240234375,5056.669921875,61984900
2020-07-06,5081.509765625,5081.509765625,5121.72021484375,5059.06982421875,5112.5,88519700
2020-07-07,5043.72998046875,5043.72998046875,5056.52001953125,5009.02978515625,5054.0400390625,75993100
2020-07-08,4981.1298828125,4981.1298828125,5040.52001953125,4969.830078125,5004.81982421875,79877900
2020-07-09,4921.009765625,4921.009765625,5014.85009765625,4911.56005859375,5006.52001953125,83118100
2020-07-10,4970.47998046875,4970.47998046875,4974.3701171875,4882.5,4891.60986328125,82357100
2020-07-13,5056.22998046875,5056.22998046875,5060.43017578125,4980.1201171875,5026.2001953125,75191300
2020-07-14,5007.4599609375,5007.4599609375,5007.4599609375,4941.72998046875,4990.47998046875,83503800
2020-07-15,5108.97998046875,5108.97998046875,5145.330078125,5039.18994140625,5045.919921875,97819900
2020-07-16,5085.27978515625,5085.27978515625,5105.1201171875,5048.31982421875,5076.52001953125,69535800
2020-07-17,5069.419921875,5069.419921875,5091.1298828125,5045.06982421875,5088.0,82550600
2020-07-20,5093.18017578125,5093.18017578125,5100.7900390625,5015.10986328125,5058.47998046875,65186800
2020-07-21,5104.27978515625,5104.27978515625,5172.97998046875,5097.419921875,5129.77978515625,85782100
2020-07-22,5037.1201171875,5037.1201171875,5099.2900390625,5028.47998046875,5098.47998046875,75799200
2020-07-23,5033.759765625,5033.759765625,5083.97021484375,5019.2099609375,5064.72021484375,79473700
2020-07-24,4956.43017578125,4956.43017578125,4982.1201171875,4925.41015625,4973.72998046875,76465000
2020-07-27,4939.6201171875,4939.6201171875,4957.77001953125,4923.18994140625,4944.2998046875,74167000
2020-07-28,4928.93994140625,4928.93994140625,4950.009765625,4893.6298828125,4930.10009765625,78674500
2020-07-29,4958.740234375,4958.740234375,4978.5,4945.580078125,4948.47998046875,75517100
2020-07-30,4852.93994140625,4852.93994140625,4952.3798828125,4801.02001953125,4952.080078125,137065700
2020-07-31,4783.68994140625,4783.68994140625,4902.89990234375,4783.68994140625,4866.240234375,129676300
2020-08-03,4875.93017578125,4875.93017578125,4899.52001953125,4763.60009765625,4797.06005859375,104619900
2020-08-04,4889.52001953125,4889.52001953125,4920.7998046875,4856.64990234375,4905.66015625,86945300
2020-08-05,4933.33984375,4933.33984375,4954.60009765625,4907.41015625,4916.9599609375,74970100
2020-08-06,4885.1298828125,4885.1298828125,4951.85986328125,4860.97998046875,4919.41015625,80015300
2020-08-07,4889.52001953125,4889.52001953125,4896.2099609375,4843.89990234375,4873.10009765625,62365400
2020-08-10,4909.509765625,4909.509765625,4937.6298828125,4878.580078125,4905.27001953125,62044500
2020-08-11,5027.990234375,5027.990234375,5052.1201171875,4949.0498046875,4952.41015625,97809400
2020-08-12,5073.31005859375,5073.31005859375,5096.52978515625,5010.7998046875,5017.72998046875,76792800
2020-08-13,5042.3798828125,5042.3798828125,5079.02001953125,5037.5498046875,5055.419921875,57693500
2020-08-14,4962.93017578125,4962.93017578125,5018.9501953125,4921.580078125,5018.9501953125,66383400
2020-08-17,4971.93994140625,4971.93994140625,4995.5498046875,4937.72021484375,4972.58984375,51855600
2020-08-18,4938.06005859375,4938.06005859375,5001.2900390625,4924.14990234375,4951.97998046875,60466700
2020-08-19,4977.22998046875,4977.22998046875,4977.22998046875,4917.52978515625,4934.7900390625,53103600
2020-08-20,4911.240234375,4911.240234375,4937.9501953125,4888.14990234375,4914.68994140625,66410900
2020-08-21,4896.330078125,4896.330078125,4939.25,4839.080078125,4927.60986328125,72886800
2020-08-24,5007.89013671875,5007.89013671875,5013.7001953125,4948.7099609375,4948.7099609375,68837200
2020-08-25,5008.27001953125,5008.27001953125,5073.60986328125,5008.27001953125,5023.06005859375,64060000
2020-08-26,5048.43017578125,5048.43017578125,5050.10009765625,4977.93994140625,4991.6298828125,49317700
2020-08-27,5015.97021484375,5015.97021484375,5052.259765625,5005.4599609375,5052.259765625,67454700
2020-08-28,5002.93994140625,5002.93994140625,5031.52978515625,4970.64013671875,5031.31005859375,71208000
2020-08-31,4947.22021484375,4947.22021484375,5067.5498046875,4942.18017578125,5041.33984375,97432500
2020-09-01,4938.10009765625,4938.10009765625,4993.56005859375,4892.830078125,4974.419921875,91322100
2020-09-02,5031.740234375,5031.740234375,5062.009765625,4959.64013671875,4969.6201171875,86998900
2020-09-03,5009.52001953125,5009.52001953125,5131.39013671875,4982.33984375,5074.64013671875,93616800
2020-09-04,4965.06982421875,4965.06982421875,5068.8798828125,4928.7900390625,4974.68994140625,108586000
2020-09-07,5053.72021484375,5053.72021484375,5064.64013671875,4979.8701171875,4979.8701171875,61686000
2020-09-08,4973.52001953125,4973.52001953125,5061.60009765625,4935.3798828125,5052.8798828125,85589800
2020-09-09,5042.97998046875,5042.97998046875,5058.35009765625,4973.35986328125,4980.4599609375,86318500
2020-09-10,5023.93017578125,5023.93017578125,5062.89013671875,5005.83984375,5039.47998046875,70699400
2020-09-11,5034.14013671875,5034.14013671875,5053.6298828125,4997.85986328125,5014.97021484375,70572900
2020-09-14,5051.8798828125,5051.8798828125,5087.52001953125,5034.91015625,5071.8701171875,57540800
2020-09-15,5067.93017578125,5067.93017578125,5087.990234375,5035.10009765625,5056.89990234375,79316700
2020-09-16,5074.419921875,5074.419921875,5091.52001953125,5029.56005859375,5065.75,81456400
2020-09-17,5039.5,5039.5,5053.31982421875,4995.64990234375,5005.89013671875,85821100
2020-09-18,4978.18017578125,4978.18017578125,5041.330078125,4978.18017578125,5035.93994140625,279158000
